RAS-ChIP,RAS-ChIP,MEF-ChIP,MEF-ChIP,ChIP-common,ChIP-common,ChIP-common
TSS,non-TSS,TSS-3fold,non-TSS-3fold,All,TSS,non-TSS
0610009B22Rik,0610010F05Rik,0610007P14Rik,0610012H03Rik,1110002L01Rik,1110002L01Rik,1500009L16Rik
0610009O20Rik,1110004F10Rik,0610009D07Rik,1110007C09Rik,1110037F02Rik,1300018J18Rik,1700020N01Rik
1110001A16Rik,1110008E08Rik,0610012G03Rik,1110015O18Rik,1300018J18Rik,2410002F23Rik,1700025G04Rik
1110002L01Rik,1110017D15Rik,0610037L13Rik,1110067D22Rik,1500009L16Rik,2610301G19Rik,1700112E06Rik
1110008F13Rik,1110032F04Rik,0910001L09Rik,1300014I06Rik,1700020N01Rik,4931406P16Rik,1810013L24Rik
1110032A03Rik,1110037F02Rik,1110001J03Rik,1500009L16Rik,1700025G04Rik,Aaas,2010111I01Rik
1110065P20Rik,1190007I07Rik,1110002L01Rik,1600002D24Rik,1700029J07Rik,Acbd5,4632415L05Rik
1300018J18Rik,1500002C15Rik,1110003E01Rik,1600012F09Rik,1700052N19Rik,Acbd6,4632428N05Rik
1700019D03Rik,1500009L16Rik,1110037F02Rik,1600014C23Rik,1700112E06Rik,Acn9,4930470P17Rik
1700067K01Rik,1500015O10Rik,1110054O05Rik,1700003G13Rik,1810013L24Rik,Actr3,6430531B16Rik
1700101E01Rik,1500035N22Rik,1190002N15Rik,1700009P17Rik,1810026J23Rik,Adam17,8430427H17Rik
1810024B03Rik,1600002K03Rik,1200011M11Rik,1700011A15Rik,2010111I01Rik,Adrm1,A1bg
1810055G02Rik,1700001K19Rik,1200016B10Rik,1700012B07Rik,2210018M11Rik,Aggf1,A730020M07Rik
2010107G23Rik,1700001O22Rik,1300010F03Rik,1700018A04Rik,2310044G17Rik,Alad,Abca4
2410002F23Rik,1700003H04Rik,1300018J18Rik,1700018B08Rik,2410002F23Rik,Ap1g1,Abcc4
2610020H08Rik,1700003M02Rik,1500001M20Rik,1700019E08Rik,2610301G19Rik,Ap4e1,Abhd2
